GAME_ID,OLD_HOME_TEAM_WIN,OLD_HOME_TEAM_REST,NEW_HOME_TEAM_WIN,NEW_HOME_TEAM_REST
20900499,1,0.23,1,1.83
20900500,0,0.61,0,2.19
20900501,0,0.23,0,2.44
20900502,1,0.45,1,2.09
20900503,1,0.3,1,2.03
20900504,0,0.55,0,1.94
20900505,0,0.16,0,2.06
20900506,1,0.85,1,2.0
20900507,1,0.13,1,2.19
20900508,1,0.65,1,1.99
20900509,0,0.36,0,1.99
20900510,0,0.5,0,2.08
20900511,0,0.13,0,2.19
20900512,0,0.73,0,1.95
20900513,1,0.63,1,2.03
20900514,1,0.65,1,2.03
20900515,1,0.2,1,2.08
20900516,1,0.69,1,2.29
20900517,1,0.73,1,2.33
20900518,0,0.41,0,2.34
20900519,1,0.28,1,2.12
20900520,1,0.42,1,2.16
20900521,1,0.6,1,2.19
20900522,1,0.09,1,2.15
20900523,1,0.86,1,2.23
20900524,1,0.6,1,2.52
20900525,0,0.75,0,2.02
20900526,0,0.76,0,2.02
20900527,1,0.36,1,2.13
20900528,1,0.53,1,2.21
20900529,1,0.45,1,2.15
20900530,1,0.54,1,2.06
20900531,1,0.16,1,1.81
20900532,0,0.01,0,2.35
20900533,1,0.25,1,1.95
20900534,1,0.49,1,2.14
20900535,0,0.76,0,2.03
20900536,1,0.23,1,2.11
20900537,1,0.07,1,2.01
20900538,0,0.88,0,2.28
20900539,0,0.52,0,2.1
20900540,1,0.79,1,2.6
20900541,1,0.5,1,2.02
20900542,0,0.58,0,2.11
20900543,1,0.4,1,1.88
20900544,1,0.22,1,1.88
20900545,1,0.51,1,2.08
20900546,0,0.63,0,2.13
20900547,1,0.5,1,1.96
20900548,1,0.66,1,2.12
20900549,1,0.46,1,1.99
20900550,1,0.51,1,2.2
20900551,1,0.54,1,1.9
20900552,0,0.63,0,2.3
20900553,1,0.69,1,2.23
20900554,0,0.35,0,2.08
20900555,1,0.49,1,2.16
20900556,1,0.67,1,2.02
20900557,0,0.38,0,2.19
20900558,1,0.61,1,1.96
20900559,1,0.48,1,1.9
20900560,0,0.68,0,2.06
20900561,0,0.04,0,2.28
20900562,1,0.63,1,1.98
20900563,0,0.77,0,2.09
20900564,0,0.5,0,2.38
20900565,1,0.32,1,2.04
20900566,1,0.64,1,1.99
20900567,1,0.38,1,2.27
20900568,0,0.42,0,2.25
20900569,0,0.61,0,1.91
20900570,1,0.69,1,2.1
20900571,1,0.8,1,2.37
20900572,1,0.45,1,2.05
20900573,1,0.74,1,1.97
20900574,1,0.78,1,1.94
20900575,1,0.34,1,2.22
20900576,1,0.66,1,2.31
20900577,0,0.03,0,2.23
20900578,0,0.58,0,2.15
20900579,1,0.34,1,2.31
20900580,0,0.55,0,2.03
20900581,0,0.28,0,2.2
20900582,1,0.6,1,1.78
20900583,1,0.59,1,2.22
20900584,1,0.86,1,2.12
20900585,0,0.77,0,1.75
20900586,1,0.1,1,1.74
20900587,1,0.56,1,2.0
20900588,1,0.77,1,2.07
20900589,1,0.34,1,1.88
20900590,1,0.8,1,2.08
20900591,0,0.26,0,1.97
20900592,1,0.59,1,2.33
20900593,1,0.76,1,2.36
20900594,1,0.26,1,1.95
20900595,1,0.4,1,1.79
20900596,0,0.83,0,2.16
20900597,1,0.91,1,2.1
20900598,1,0.37,1,2.21
20900599,1,0.17,1,1.97
20900600,1,0.08,1,2.16
20900601,0,0.67,0,1.84
20900602,1,0.19,1,2.35
20900603,1,0.85,1,2.06
20900604,0,0.41,0,2.29
20900605,1,0.73,1,2.01
20900606,1,0.68,1,2.2
20900607,1,0.44,1,1.97
20900608,1,0.55,1,2.13
20900609,1,0.94,1,2.08
20900610,1,0.19,1,2.06
20900611,0,0.42,0,2.18
20900612,0,0.6,0,1.83
20900613,1,0.47,1,2.0
20900614,1,0.21,1,1.94
20900615,0,0.38,0,2.13
20900616,1,0.44,1,1.87
20900617,1,0.13,1,1.95
20900618,0,0.59,0,1.8
20900619,0,0.46,0,2.28
20900620,1,0.45,1,1.98
20900621,1,0.79,1,2.16
20900622,1,0.89,1,2.21
20900623,1,0.46,1,2.05
20900624,1,0.28,1,2.15
20900625,1,0.32,1,2.03
20900626,0,0.4,0,1.86
20900627,1,0.7,1,2.11
20900628,1,0.18,1,2.19
20900629,0,0.65,0,2.0
20900630,1,0.6,1,2.04
20900631,0,0.26,0,2.1
20900632,0,0.5,0,2.32
20900633,0,0.39,0,1.84
20900634,1,0.31,1,2.23
20900635,0,0.42,0,1.96
20900636,0,0.64,0,1.87
20900637,0,0.49,0,1.69
20900638,1,0.86,1,2.13
20900639,0,0.43,0,1.82
20900640,1,0.61,1,1.68
20900641,0,0.72,0,2.26
20900642,1,0.32,1,1.78
20900643,1,0.93,1,2.17
20900644,1,0.28,1,1.79
20900645,1,0.72,1,2.25
20900646,0,0.34,0,2.26
20900647,0,0.27,0,1.88
20900648,1,0.55,1,2.03
20900649,0,0.68,0,1.95
20900650,1,0.45,1,2.34
20900651,0,0.74,0,1.74
20900652,1,0.73,1,2.21
20900653,0,0.48,0,2.21
20900654,0,0.26,0,2.05
20900655,1,0.95,1,2.14
20900656,1,0.81,1,2.21
20900657,0,0.62,0,2.01
20900658,0,0.18,0,1.9
20900659,1,0.22,1,2.22
20900660,1,0.65,1,2.01
20900661,0,0.35,0,1.68
20900662,1,0.02,1,2.07
20900663,1,0.94,1,2.09
20900664,0,0.55,0,1.79
20900665,1,0.7,1,2.2
20900666,0,0.29,0,2.22
20900667,1,0.0,1,2.38
20900668,1,0.36,1,1.82
20900669,0,0.36,0,2.17
20900670,0,0.32,0,2.17
20900671,1,0.17,1,2.04
20900672,0,0.42,0,2.01
20900673,0,0.24,0,1.97
20900674,0,0.48,0,2.18
20900675,1,0.51,1,2.09
20900676,1,0.23,1,1.73
20900677,0,0.37,0,1.83
20900678,0,0.3,0,1.97
20900679,1,0.58,1,2.18
20900680,0,0.19,0,2.18
20900681,1,0.05,1,1.92
20900682,0,0.34,0,2.31
20900683,0,0.78,0,1.85
20900684,1,0.24,1,2.14
20900685,1,0.21,1,2.14
20900686,1,0.45,1,2.03
20900687,1,0.92,1,2.14
20900688,0,0.16,0,1.98
20900689,1,0.67,1,2.07
20900690,0,0.59,0,1.94
20900691,1,0.41,1,1.9
20900692,0,0.51,0,2.01
20900693,1,0.58,1,2.03
20900694,0,0.23,0,2.01
20900695,0,0.63,0,2.03
20900696,0,0.28,0,2.16
20900697,1,0.97,1,2.06
20900698,0,0.13,0,2.14
20900699,0,0.22,0,2.25
20900700,1,0.87,1,2.17
20900701,0,0.48,0,2.11
20900702,1,0.37,1,1.93
20900703,1,0.49,1,2.11
20900704,0,0.61,0,1.92
20900705,0,0.37,0,1.73
20900706,1,0.39,1,1.95
20900707,0,0.68,0,1.75
20900708,1,0.77,1,1.88
20900709,1,0.94,1,2.29
20900710,1,0.46,1,1.86
20900711,1,0.98,1,2.05
20900712,1,0.16,1,1.88
20900713,1,0.85,1,1.9
20900714,0,0.15,0,2.21
20900715,0,0.92,0,2.31
20900716,1,0.66,1,2.09
20900717,1,0.32,1,2.09
20900718,1,0.32,1,1.94
20900719,1,0.47,1,2.16
20900720,1,0.61,1,1.93
20900721,1,0.14,1,2.13
20900722,1,0.46,1,1.96
20900723,0,0.45,0,1.8
20900724,1,0.23,1,2.01
20900725,0,0.85,0,1.9
20900726,0,0.1,0,2.01
20900727,1,0.6,1,1.76
20900728,1,0.96,1,2.24
20900729,1,0.99,1,2.04
20900730,1,0.43,1,1.72
20900731,1,0.44,1,2.09
20900732,0,0.9,0,2.1
20900733,1,0.64,1,1.97
20900734,0,0.43,0,2.11
20900735,1,0.55,1,1.95
20900736,0,0.4,0,2.0
20900737,0,0.3,0,1.83
20900738,0,0.49,0,2.0
20900739,0,0.07,0,2.01
20900740,0,0.73,0,1.81
20900741,0,0.35,0,2.07
20900742,0,0.51,0,2.12
20900743,1,0.99,1,2.03
20900744,1,0.26,1,2.05
20900745,1,0.27,1,1.87
20900746,1,0.72,1,2.07
20900747,0,0.7,0,2.03
20900748,1,0.69,1,1.86
20900749,1,0.98,1,2.38
20900750,0,0.62,0,1.77
20900751,0,0.03,0,2.02
20900752,0,0.28,0,1.98
20900753,1,0.74,1,2.31
20900754,0,0.76,0,1.97
20900755,1,0.73,1,1.88
20900756,0,0.02,0,2.02
20900757,1,0.66,1,1.72
20900758,1,0.23,1,2.24
20900759,1,0.99,1,2.21
20900760,0,0.42,0,2.09
20900761,1,0.84,1,2.12
20900762,1,0.07,1,1.94
20900763,0,0.19,0,2.1
20900764,0,0.18,0,2.03
20900765,0,0.8,0,2.07
20900766,1,0.47,1,1.98
20900767,0,0.41,0,2.0
20900768,0,0.18,0,2.17
20900769,0,0.87,0,2.08
20900770,1,0.83,1,2.43
20900771,0,0.67,0,2.0
20900772,0,0.02,0,1.84
20900773,0,0.68,0,1.88
20900774,0,0.54,0,2.02
20900775,1,0.31,1,1.79
20900776,0,0.9,0,2.25
20900777,0,0.99,0,2.22
20900778,1,0.01,1,2.02
20900779,1,1.0,1,2.17
20900780,0,0.65,0,1.98
20900781,0,0.66,0,2.37
20900782,0,0.6,0,2.3
20900783,1,0.45,1,2.36
20900784,1,0.45,1,2.26
20900785,0,0.12,0,2.39
20900786,1,0.93,1,2.58
20900787,0,0.31,0,2.53
20900788,1,0.52,1,2.21
20900789,0,0.57,0,2.22
20900790,1,0.85,1,2.18
20900791,0,0.28,0,2.44
20900792,1,0.59,1,2.15
20900793,0,0.88,0,2.72
20900794,1,0.23,1,2.63
20900795,0,0.34,0,2.01
20900796,0,0.08,0,2.19
20900797,0,0.69,0,2.26
20900798,0,0.54,0,2.19
20900799,1,0.24,1,2.1
20900800,1,0.23,1,2.13
20900801,0,0.05,0,2.09
20900802,0,1.0,0,2.5
20900803,0,0.9,0,2.14
20900804,1,0.44,1,2.49
20900805,1,0.4,1,2.42
20900806,1,0.49,1,2.51
20900807,0,0.42,0,2.09
20900808,0,0.39,0,2.11
20900809,0,0.16,0,2.1
20900810,0,0.23,0,2.01
20900811,1,0.36,1,2.16
20900812,0,0.73,0,2.12
20900813,1,0.49,1,2.23
20900814,0,0.49,0,2.1
20900815,0,0.68,0,2.36
20900816,1,0.73,1,2.3
20900817,0,0.06,0,2.33
20900818,1,0.84,1,1.84
20900819,1,0.66,1,1.88
20900820,0,0.47,0,2.39
20900821,1,0.64,1,1.99
20900822,1,0.04,1,2.25
20900823,1,0.48,1,2.1
20900824,1,0.41,1,2.09
20900825,1,0.28,1,2.08
